ID,Title,Price,Brand,rating,review
436801398-s2101274808,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 32,999",No Brand,4.2,"['#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.', 'good mobile same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active', 'everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍']"
436821010-s2101334479,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"Rs. 64,499",No Brand,4.7,"['I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰', 'Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro', 'Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi']"
430451931-s2051820851,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,"Rs. 22,499",Xiaomi,4.7,"['achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai', 'Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.', 'mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho']"
430005529-s2047788424,Tecno CAMON 20 8GB RAM-256GB ROM 5000MAH BATTERY PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 48,599",Tecno,4.6,"['Mobile received 2 days before delivery date. Mobile has all accessories. Mobile is looking good. But the warranty card has no information about Mobile (like IMEI number, purchase date, etc.)', 'looks original proper pinpacked', 'The Product is original and branded, The quality is best. Thanks Daraz.']"
430685852-s2054176513,Redmi A2+ 3GB - 64GB 5000mAh 10W fast charging 6.52” HD+ Dot Drop display PTA  Approved  system active,"Rs. 22,099",Redmi,4.6,"['Original phone seller response is satisfactory delivery is a little late but overall a good experience . Thanks seller and daraz.', ""The phone is original in good condition but the delivery system of daraz is very slow, In 2 weeks i got this mobile overall it's a good phone. i will recommend"", ""mobile was box packed looks new. let's see it's working .. recommended and will update this after 6months""]"
421521093-s1991845039,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY  SUPER FAST CHARGING,"Rs. 50,499",Redmi,3.2,"['phone is damaged from edges, pictures uploaded', 'Same As Described original product found in reasonable price than Market', 'I ordered phone in black color but they sent me in Green color. After doing so, he stopped seeing my msgs. Such a ridiculous customer service. I’m completely disappointed over this.']"
424399069-s2010722464,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 29,000",No Brand,4.8,"['Dear Seller, The cell phone is the same as shown, and also, thanks for the quick delivery. Thums Up', ""we'll packed box pack ram 4+3 rom 128gb reason able price just 1 issue net of out of warranty status show ho raha hy"", 'بہت اچھا رسپانس ہے بہت اچھا سیٹ جینون کنڈیشن میں مجھے ملا ہے اور ٹائم سے پہلے مجھے مل گیا ہے بہت تیز ڈلیوری ہے بہت اچھا رسپانس ہے ویری گڈ سیلر ویری گڈ دراز']"
421054632-s1988619536,Honor X5 Dual SIM 2GB RAM 32GB 4G 1Year Official Warranty,"Rs. 19,999",Honor,4.7,"['i am using this mobile for 5 days now. best mobile for basic tasks like whatsapp call youtube etc. i received it on 11.11 sale at price 15k which is too good deal. everyone appriciate its look. working smooth and battery timing is too good. 👍', 'Amazing phone within the discounted price of #11.11 I would recommend everyone if you are looking to get the basics done alright and don’t want to spend too much this is the right choice. Quality is not cheap like other phones in this budget. However I do have one complaint as the phone down have a case in the box and no warranty card. #11.11', 'Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.']"
423781498-s2073410404,"SPARX NEO 7 ULTRA 6+128GB || 6.7"" DISPLAY || 5000mAh BATTERY || OCTA CORE PROCESSOR || FAST CHARGING || PTA APPROVED || ONE YEAR BRAND WARRANTY","Rs. 28,999",No Brand,4.5,"['very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku', 'thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya', 'Awesome mobile recieved on time very fast processor lovely color seller are very cooperative totally satisfied 👌👍']"
422210787-s1998035735,Samsung A14 6/128,"Rs. 53,999",Samsung,4.3,"['very fast delivery and origional sealed pack mobile I am satisfied', 'سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ', 'not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful']"
